"ano";"periodo";"moeda";"key";"value";"var"
"118";"1930";1930-06-30;"Milhares de contos de réis (1.000:000$000)";"caixa_bancos";518;0.970037453183521
"119";"1930";1930-09-30;"Milhares de contos de réis (1.000:000$000)";"caixa_bancos";524;1.01158301158301
"120";"1930";1930-12-31;"Milhares de contos de réis (1.000:000$000)";"caixa_bancos";573;1.09351145038168
"121";"1931";1931-03-31;"Milhares de contos de réis (1.000:000$000)";"caixa_bancos";481;0.839441535776614
"122";"1931";1931-06-30;"Milhares de contos de réis (1.000:000$000)";"caixa_bancos";527;1.0956340956341
"123";"1931";1931-09-30;"Milhares de contos de réis (1.000:000$000)";"caixa_bancos";637;1.20872865275142
"124";"1931";1931-12-31;"Milhares de contos de réis (1.000:000$000)";"caixa_bancos";646;1.01412872841444
"125";"1932";1932-03-31;"Milhares de contos de réis (1.000:000$000)";"caixa_bancos";727;1.12538699690402
"126";"1932";1932-06-30;"Milhares de contos de réis (1.000:000$000)";"caixa_bancos";664;0.91334250343879
"127";"1932";1932-09-30;"Milhares de contos de réis (1.000:000$000)";"caixa_bancos";836;1.25903614457831
"128";"1932";1932-12-31;"Milhares de contos de réis (1.000:000$000)";"caixa_bancos";571;0.683014354066986
"129";"1933";1933-03-31;"Milhares de contos de réis (1.000:000$000)";"caixa_bancos";502;0.879159369527145
"130";"1933";1933-06-30;"Milhares de contos de réis (1.000:000$000)";"caixa_bancos";495;0.98605577689243
"131";"1933";1933-09-30;"Milhares de contos de réis (1.000:000$000)";"caixa_bancos";434;0.876767676767677
"132";"1933";1933-12-31;"Milhares de contos de réis (1.000:000$000)";"caixa_bancos";443;1.02073732718894
"133";"1934";1934-03-31;"Milhares de contos de réis (1.000:000$000)";"caixa_bancos";468;1.05643340857788
"134";"1934";1934-06-30;"Milhares de contos de réis (1.000:000$000)";"caixa_bancos";468;1
"135";"1934";1934-09-30;"Milhares de contos de réis (1.000:000$000)";"caixa_bancos";446;0.952991452991453
"136";"1934";1934-12-31;"Milhares de contos de réis (1.000:000$000)";"caixa_bancos";463;1.03811659192825
"137";"1935";1935-03-31;"Milhares de contos de réis (1.000:000$000)";"caixa_bancos";420;0.907127429805616
"138";"1935";1935-06-30;"Milhares de contos de réis (1.000:000$000)";"caixa_bancos";449;1.06904761904762
"139";"1935";1935-09-30;"Milhares de contos de réis (1.000:000$000)";"caixa_bancos";465;1.03563474387528
"140";"1935";1935-12-31;"Milhares de contos de réis (1.000:000$000)";"caixa_bancos";483;1.03870967741935
"141";"1936";1936-03-31;"Milhares de contos de réis (1.000:000$000)";"caixa_bancos";492;1.01863354037267
"142";"1936";1936-06-30;"Milhares de contos de réis (1.000:000$000)";"caixa_bancos";515;1.04674796747967
"143";"1936";1936-09-30;"Milhares de contos de réis (1.000:000$000)";"caixa_bancos";525;1.01941747572816
"144";"1936";1936-12-31;"Milhares de contos de réis (1.000:000$000)";"caixa_bancos";550;1.04761904761905
"145";"1937";1937-03-31;"Milhares de contos de réis (1.000:000$000)";"caixa_bancos";573;1.04181818181818
"146";"1937";1937-06-30;"Milhares de contos de réis (1.000:000$000)";"caixa_bancos";634;1.1064572425829
"147";"1937";1937-09-30;"Milhares de contos de réis (1.000:000$000)";"caixa_bancos";561;0.884858044164038
"148";"1937";1937-12-31;"Milhares de contos de réis (1.000:000$000)";"caixa_bancos";665;1.18538324420677
"149";"1938";1938-03-31;"Milhares de contos de réis (1.000:000$000)";"caixa_bancos";652;0.980451127819549
"150";"1938";1938-06-30;"Milhares de contos de réis (1.000:000$000)";"caixa_bancos";768;1.17791411042945
"151";"1938";1938-09-30;"Milhares de contos de réis (1.000:000$000)";"caixa_bancos";664;0.864583333333333
"152";"1938";1938-12-31;"Milhares de contos de réis (1.000:000$000)";"caixa_bancos";692;1.0421686746988
"153";"1939";1939-03-31;"Milhares de contos de réis (1.000:000$000)";"caixa_bancos";589;0.851156069364162
"154";"1939";1939-06-30;"Milhares de contos de réis (1.000:000$000)";"caixa_bancos";665;1.12903225806452
"155";"1939";1939-09-30;"Milhares de contos de réis (1.000:000$000)";"caixa_bancos";679;1.02105263157895
"156";"1939";1939-12-31;"Milhares de contos de réis (1.000:000$000)";"caixa_bancos";755;1.1119293078056
"157";"1940";1940-03-31;"Milhares de contos de réis (1.000:000$000)";"caixa_bancos";698;0.924503311258278
"158";"1940";1940-06-30;"Milhares de contos de réis (1.000:000$000)";"caixa_bancos";731;1.04727793696275
"159";"1940";1940-09-30;"Milhares de contos de réis (1.000:000$000)";"caixa_bancos";690;0.94391244870041
"160";"1940";1940-12-31;"Milhares de contos de réis (1.000:000$000)";"caixa_bancos";764;1.10724637681159
"161";"1941";1941-03-31;"Milhares de contos de réis (1.000:000$000)";"caixa_bancos";737;0.964659685863874
"162";"1941";1941-06-30;"Milhares de contos de réis (1.000:000$000)";"caixa_bancos";837;1.13568521031208
"163";"1941";1941-09-30;"Milhares de contos de réis (1.000:000$000)";"caixa_bancos";898;1.07287933094385
"164";"1941";1941-12-31;"Milhares de contos de réis (1.000:000$000)";"caixa_bancos";931;1.03674832962138
"165";"1942";1942-03-31;"Milhões de cruzeiros (CR$ 1.000)";"caixa_bancos";935;1.00429645542428
"166";"1942";1942-06-30;"Milhões de cruzeiros (CR$ 1.000)";"caixa_bancos";1114;1.19144385026738
"167";"1942";1942-09-30;"Milhões de cruzeiros (CR$ 1.000)";"caixa_bancos";906;0.813285457809695
"168";"1942";1942-12-31;"Milhões de cruzeiros (CR$ 1.000)";"caixa_bancos";1164;1.28476821192053
"169";"1943";1943-03-31;"Milhões de cruzeiros (CR$ 1.000)";"caixa_bancos";1254;1.07731958762887
"170";"1943";1943-06-30;"Milhões de cruzeiros (CR$ 1.000)";"caixa_bancos";1516;1.20893141945774
"171";"1943";1943-09-30;"Milhões de cruzeiros (CR$ 1.000)";"caixa_bancos";1509;0.995382585751979
"172";"1943";1943-12-31;"Milhões de cruzeiros (CR$ 1.000)";"caixa_bancos";1761;1.16699801192843
"173";"1944";1944-03-31;"Milhões de cruzeiros (CR$ 1.000)";"caixa_bancos";1655;0.939806927881885
"174";"1944";1944-06-30;"Milhões de cruzeiros (CR$ 1.000)";"caixa_bancos";2070;1.25075528700906
"175";"1944";1944-09-30;"Milhões de cruzeiros (CR$ 1.000)";"caixa_bancos";2021;0.976328502415459
"176";"1944";1944-12-31;"Milhões de cruzeiros (CR$ 1.000)";"caixa_bancos";1973;0.97624938149431
"177";"1945";1945-03-31;"Milhões de cruzeiros (CR$ 1.000)";"caixa_bancos";1950;0.988342625443487
"178";"1945";1945-06-30;"Milhões de cruzeiros (CR$ 1.000)";"caixa_bancos";2301;1.18
"179";"1945";1945-09-30;"Milhões de cruzeiros (CR$ 1.000)";"caixa_bancos";2242;0.974358974358974
"180";"1945";1945-12-31;"Milhões de cruzeiros (CR$ 1.000)";"caixa_bancos";2375;1.05932203389831
"181";"1946";1946-03-31;"Milhões de cruzeiros (CR$ 1.000)";"caixa_bancos";2100;0.884210526315789
"182";"1946";1946-06-30;"Milhões de cruzeiros (CR$ 1.000)";"caixa_bancos";2500;1.19047619047619
"183";"1946";1946-09-30;"Milhões de cruzeiros (CR$ 1.000)";"caixa_bancos";2500;1
"184";"1946";1946-12-31;"Milhões de cruzeiros (CR$ 1.000)";"caixa_bancos";2700;1.08
"185";"1947";1947-03-31;"Milhões de cruzeiros (CR$ 1.000)";"caixa_bancos";2300;0.851851851851852
"186";"1947";1947-06-30;"Milhões de cruzeiros (CR$ 1.000)";"caixa_bancos";2500;1.08695652173913
"187";"1947";1947-09-30;"Milhões de cruzeiros (CR$ 1.000)";"caixa_bancos";2400;0.96
"188";"1947";1947-12-31;"Milhões de cruzeiros (CR$ 1.000)";"caixa_bancos";2500;1.04166666666667
"189";"1948";1948-03-31;"Milhões de cruzeiros (CR$ 1.000)";"caixa_bancos";2400;0.96
"190";"1948";1948-06-30;"Milhões de cruzeiros (CR$ 1.000)";"caixa_bancos";2600;1.08333333333333
"191";"1948";1948-09-30;"Milhões de cruzeiros (CR$ 1.000)";"caixa_bancos";2500;0.961538461538462
"192";"1948";1948-12-31;"Milhões de cruzeiros (CR$ 1.000)";"caixa_bancos";2800;1.12
"193";"1949";1949-03-31;"Milhões de cruzeiros (CR$ 1.000)";"caixa_bancos";2800;1
"194";"1949";1949-06-30;"Milhões de cruzeiros (CR$ 1.000)";"caixa_bancos";3100;1.10714285714286
"195";"1949";1949-09-30;"Milhões de cruzeiros (CR$ 1.000)";"caixa_bancos";3000;0.967741935483871
"196";"1949";1949-12-31;"Milhões de cruzeiros (CR$ 1.000)";"caixa_bancos";3300;1.1
"197";"1950";1950-03-31;"Milhões de cruzeiros (CR$ 1.000)";"caixa_bancos";3100;0.939393939393939
"198";"1950";1950-06-30;"Milhões de cruzeiros (CR$ 1.000)";"caixa_bancos";3500;1.12903225806452
"199";"1950";1950-09-30;"Milhões de cruzeiros (CR$ 1.000)";"caixa_bancos";4000;1.14285714285714
"200";"1950";1950-12-31;"Milhões de cruzeiros (CR$ 1.000)";"caixa_bancos";4500;1.125
"201";"1951";1951-03-31;"Milhões de cruzeiros (CR$ 1.000)";"caixa_bancos";4400;0.977777777777778
"202";"1951";1951-06-30;"Milhões de cruzeiros (CR$ 1.000)";"caixa_bancos";4700;1.06818181818182
"203";"1951";1951-09-30;"Milhões de cruzeiros (CR$ 1.000)";"caixa_bancos";4600;0.978723404255319
"204";"1951";1951-12-31;"Milhões de cruzeiros (CR$ 1.000)";"caixa_bancos";5200;1.1304347826087
"205";"1952";1952-03-31;"Milhões de cruzeiros (CR$ 1.000)";"caixa_bancos";4800;0.923076923076923
"206";"1952";1952-06-30;"Milhões de cruzeiros (CR$ 1.000)";"caixa_bancos";5000;1.04166666666667
"207";"1952";1952-09-30;"Milhões de cruzeiros (CR$ 1.000)";"caixa_bancos";5100;1.02
"208";"1952";1952-12-31;"Milhões de cruzeiros (CR$ 1.000)";"caixa_bancos";5500;1.07843137254902
"209";"1953";1953-03-31;"Milhões de cruzeiros (CR$ 1.000)";"caixa_bancos";5100;0.927272727272727
"210";"1953";1953-06-30;"Milhões de cruzeiros (CR$ 1.000)";"caixa_bancos";5600;1.09803921568627
"211";"1953";1953-09-30;"Milhões de cruzeiros (CR$ 1.000)";"caixa_bancos";5600;1
"212";"1953";1953-12-31;"Milhões de cruzeiros (CR$ 1.000)";"caixa_bancos";6200;1.10714285714286
"213";"1954";1954-03-31;"Milhões de cruzeiros (CR$ 1.000)";"caixa_bancos";5700;0.919354838709677
"214";"1954";1954-06-30;"Milhões de cruzeiros (CR$ 1.000)";"caixa_bancos";6300;1.10526315789474
"215";"1954";1954-09-30;"Milhões de cruzeiros (CR$ 1.000)";"caixa_bancos";6500;1.03174603174603
"216";"1954";1954-12-31;"Milhões de cruzeiros (CR$ 1.000)";"caixa_bancos";7100;1.09230769230769
"217";"1955";1955-03-31;"Milhões de cruzeiros (CR$ 1.000)";"caixa_bancos";6500;0.915492957746479
"218";"1955";1955-06-30;"Milhões de cruzeiros (CR$ 1.000)";"caixa_bancos";7400;1.13846153846154
"219";"1955";1955-09-30;"Milhões de cruzeiros (CR$ 1.000)";"caixa_bancos";7600;1.02702702702703
"220";"1955";1955-12-31;"Milhões de cruzeiros (CR$ 1.000)";"caixa_bancos";8200;1.07894736842105
"221";"1956";1956-03-31;"Milhões de cruzeiros (CR$ 1.000)";"caixa_bancos";7800;0.951219512195122
"222";"1956";1956-06-30;"Milhões de cruzeiros (CR$ 1.000)";"caixa_bancos";9700;1.24358974358974
